(132, 5)
(133, -6)
(112, -81)
(8, 30)
(137, 13)
(113, -81)
(94, -93)
(7, -4)
(101, 28)
(121, 15)
(106, 28)
(91, -105)
(-5, -7)
(87, -107)
(43, 7)
(137, -32)
(108, 29)
(8, -1)
(56, 23)
(30, 36)
(104, 40)
(136, 28)
(61, 22)
(101, 16)
(109, -70)
(5, -8)
(27, 43)
(28, 50)
(67, 40)
(32, 33)
(24, 39)
(22, 24)
(132, 43)
(112, 66)
(30, 38)
(116, 7)
(144, 24)
(114, -7)
(87, 9)
(98, 47)
(139, 29)
(96, -103)
(136, -22)
(79, -3)
(67, 42)
(92, -107)
(116, -96)
(140, -61)
(123, 5)
(112, -91)
(34, 21)
(120, 9)
(40, 19)
(126, -3)
(113, 61)
(99, 32)
(54, 2)
(24, 23)
(93, 19)
(112, 20)
(105, 27)
(112, 62)
(114, 23)
(104, 69)
(70, -7)
(103, 46)
(-2, -9)
(139, 32)
(149, -50)
(113, -68)
(89, -108)
(124, -104)
(127, 34)
(117, -7)
(128, 41)
(104, 7)
(104, 36)
(15, 44)
(12, -5)
(37, 17)
(116, 19)
(139, -25)
(119, -23)
(131, -17)
(50, 9)
(113, 2)
(133, -35)
(119, 14)
(106, -10)
(137, -39)
(77, -7)
(127, -106)
(116, 61)
(11, 8)
(97, 25)
(107, 22)
(34, 8)
(130, -66)
(26, 12)
(119, 10)
(138, -38)
(8, 21)
(62, 44)
(40, 26)
(125, -104)
(43, 29)
(75, 33)
(51, 29)
(133, -23)
(29, 32)
(111, 64)
(27, 28)
(35, 44)
(105, 40)
(108, -106)
(34, 22)
(140, 26)
(136, -24)
(132, 44)
(41, 19)
(142, 25)
(50, 14)
(40, 33)
(29, 10)
(104, 0)
(129, -23)
(31, 35)
(42, 12)
(113, 28)
(119, -96)
(97, 21)
(97, 3)
(22, 32)
(144, 8)
(45, 15)
(126, 6)
(138, -33)
(13, -9)
(41, 2)
(106, 41)
(118, 6)
(50, 15)
(36, 32)
(62, 20)
(-1, -8)
(32, 4)
(120, 22)
(24, -13)
(112, 34)
(13, -12)
(121, 29)
(113, 18)
(114, 32)
(108, 53)
(43, 8)
(106, 42)
(112, 32)
(129, 24)
(130, -38)
(142, -45)
(25, 39)
(119, -21)
(112, -90)
(111, -85)
(15, 19)
(116, -92)
